user_id,is_churned,churn_date,churn_reason
U00001,Yes,2025-07-21,Competition
U00002,Yes,2025-04-27,Features
U00003,Yes,2025-06-26,Price
U00004,Yes,2024-06-20,Inactive
U00005,Yes,2024-07-16,Competition
U00006,Yes,2024-10-31,Features
U00007,Yes,2025-01-25,Inactive
U00008,No,,
U00009,Yes,2025-04-24,Competition
U00010,Yes,2024-10-23,Features
U00011,Yes,2024-05-16,Features
U00012,Yes,2025-01-30,Features
U00013,Yes,2024-11-25,Competition
U00014,Yes,2024-02-24,Features
U00015,Yes,2024-08-13,Features
U00016,Yes,2025-05-23,Inactive
U00017,Yes,2025-07-10,Features
U00018,Yes,2024-09-08,Price
U00019,No,,
U00020,Yes,2024-11-04,Competition
U00021,Yes,2024-11-26,Inactive
U00022,Yes,2025-04-09,Price
U00023,Yes,2024-11-27,Inactive
U00024,Yes,2024-03-05,Features
U00025,Yes,2024-11-02,Features
U00026,Yes,2024-06-06,Inactive
U00027,Yes,2025-03-10,Features
U00028,Yes,2025-03-03,Competition
U00029,Yes,2024-10-23,Competition
U00030,Yes,2024-07-30,Price
U00031,Yes,2025-01-09,Features
U00032,Yes,2024-12-03,Price
U00033,Yes,2025-03-25,Features
U00034,Yes,2024-03-06,Competition
U00035,Yes,2024-12-13,Competition
U00036,Yes,2025-01-07,Price
U00037,Yes,2024-12-07,Competition
U00038,Yes,2025-02-13,Inactive
U00039,Yes,2025-06-08,Price
U00040,Yes,2024-06-07,Competition
U00041,Yes,2024-08-12,Inactive
U00042,Yes,2024-07-20,Price
U00043,Yes,2024-12-08,Features
U00044,Yes,2024-11-05,Price
U00045,Yes,2024-03-21,Price
U00046,Yes,2024-06-30,Competition
U00047,Yes,2025-04-07,Competition
U00048,Yes,2024-10-27,Inactive
U00049,Yes,2025-01-02,Features
U00050,Yes,2025-01-12,Price
U00051,Yes,2024-03-26,Competition
U00052,Yes,2025-06-19,Price
U00053,Yes,2024-09-07,Inactive
U00054,Yes,2024-11-15,Inactive
U00055,Yes,2024-12-04,Price
U00056,Yes,2025-04-05,Inactive
U00057,No,,
U00058,Yes,2025-06-17,Inactive
U00059,Yes,2024-12-07,Features
U00060,Yes,2024-10-29,Competition
U00061,Yes,2024-12-31,Competition
U00062,Yes,2025-04-10,Price
U00063,Yes,2025-01-08,Competition
U00064,No,,
U00065,Yes,2024-11-11,Features
U00066,Yes,2024-05-10,Inactive
U00067,Yes,2024-10-29,Competition
U00068,Yes,2025-06-13,Competition
U00069,Yes,2024-12-15,Features
U00070,Yes,2024-10-05,Inactive
U00071,No,,
U00072,Yes,2025-04-24,Features
U00073,Yes,2025-02-12,Inactive
U00074,Yes,2024-10-27,Inactive
U00075,Yes,2024-03-16,Price
U00076,Yes,2025-04-07,Inactive
U00077,Yes,2025-04-05,Competition
U00078,Yes,2025-03-20,Features
U00079,Yes,2025-03-22,Competition
U00080,Yes,2025-02-02,Price
U00081,No,,
U00082,Yes,2025-04-23,Price
U00083,Yes,2024-10-17,Features
U00084,Yes,2025-02-07,Price
U00085,Yes,2024-12-31,Inactive
U00086,Yes,2025-04-23,Price
U00087,Yes,2024-03-09,Competition
U00088,Yes,2025-02-26,Features
U00089,Yes,2025-05-24,Competition
U00090,Yes,2024-05-31,Price
U00091,Yes,2025-05-26,Competition
U00092,Yes,2024-11-27,Inactive
U00093,Yes,2025-01-22,Price
U00094,Yes,2024-12-31,Features
U00095,Yes,2024-08-23,Competition
U00096,No,,
U00097,Yes,2024-09-17,Features
U00098,Yes,2024-06-15,Competition
U00099,Yes,2024-07-19,Inactive
U00100,Yes,2024-06-27,Features
U00101,Yes,2024-12-16,Price
U00102,Yes,2024-07-15,Competition
U00103,Yes,2024-04-03,Price
U00104,Yes,2024-09-08,Price
U00105,Yes,2024-11-23,Price
U00106,Yes,2024-12-26,Competition
U00107,Yes,2024-05-16,Price
U00108,Yes,2024-10-15,Features
U00109,Yes,2024-08-13,Inactive
U00110,Yes,2024-10-28,Competition
U00111,Yes,2024-08-12,Features
U00112,Yes,2024-04-14,Inactive
U00113,Yes,2024-06-16,Competition
U00114,Yes,2025-02-14,Price
U00115,Yes,2024-08-14,Price
U00116,Yes,2024-07-23,Competition
U00117,Yes,2024-09-15,Features
U00118,Yes,2025-02-08,Competition
U00119,Yes,2024-12-08,Features
U00120,Yes,2024-03-19,Inactive
U00121,Yes,2024-03-08,Features
U00122,Yes,2025-02-13,Features
U00123,Yes,2025-04-15,Competition
U00124,No,,
U00125,Yes,2024-09-22,Features
U00126,Yes,2025-06-05,Inactive
U00127,Yes,2024-07-28,Features
U00128,Yes,2024-07-27,Inactive
U00129,No,,
U00130,Yes,2025-06-17,Price
U00131,Yes,2024-12-11,Price
U00132,Yes,2024-11-16,Features
U00133,Yes,2025-02-04,Features
U00134,Yes,2025-04-16,Competition
U00135,Yes,2024-06-15,Features
U00136,Yes,2025-02-18,Competition
U00137,No,,
U00138,Yes,2024-12-30,Competition
U00139,Yes,2025-09-18,Price
U00140,Yes,2025-03-27,Inactive
U00141,Yes,2024-08-09,Inactive
U00142,Yes,2024-10-15,Price
U00143,Yes,2024-12-31,Inactive
U00144,Yes,2025-04-12,Price
U00145,No,,
U00146,Yes,2024-09-22,Features
U00147,Yes,2024-09-26,Features
U00148,Yes,2025-02-23,Features
U00149,Yes,2024-02-08,Inactive
U00150,Yes,2025-01-28,Price
U00151,Yes,2025-03-03,Competition
U00152,Yes,2025-06-15,Competition
U00153,Yes,2024-05-04,Competition
U00154,Yes,2024-10-15,Competition
U00155,Yes,2024-10-18,Features
U00156,Yes,2024-10-05,Price
U00157,Yes,2024-06-15,Competition
U00158,No,,
U00159,Yes,2024-08-29,Inactive
U00160,Yes,2025-02-19,Price
U00161,Yes,2024-08-26,Competition
U00162,Yes,2024-08-12,Price
U00163,Yes,2025-03-15,Features
U00164,Yes,2024-11-27,Features
U00165,Yes,2024-09-13,Inactive
U00166,No,,
U00167,Yes,2024-07-19,Inactive
U00168,Yes,2024-04-23,Competition
U00169,Yes,2024-07-09,Features
U00170,Yes,2024-06-05,Price
U00171,Yes,2024-08-07,Competition
U00172,No,,
U00173,Yes,2025-01-08,Features
U00174,Yes,2024-10-05,Features
U00175,Yes,2024-08-26,Inactive
U00176,No,,
U00177,Yes,2025-06-12,Inactive
U00178,Yes,2024-07-03,Features
U00179,Yes,2024-08-06,Features
U00180,Yes,2025-09-06,Features
U00181,Yes,2024-12-18,Inactive
U00182,Yes,2024-09-19,Features
U00183,Yes,2025-02-22,Features
U00184,Yes,2025-02-17,Features
U00185,Yes,2024-08-23,Price
U00186,Yes,2025-02-02,Inactive
U00187,Yes,2025-01-11,Inactive
U00188,Yes,2025-06-14,Price
U00189,Yes,2024-05-08,Competition
U00190,No,,
U00191,Yes,2024-05-22,Inactive
U00192,Yes,2024-10-30,Features
U00193,Yes,2024-08-22,Features
U00194,No,,
U00195,No,,
U00196,Yes,2024-10-17,Price
U00197,Yes,2025-04-12,Competition
U00198,Yes,2024-04-10,Features
U00199,Yes,2024-12-11,Inactive
U00200,No,,
U00201,Yes,2024-04-26,Competition
U00202,Yes,2024-09-26,Inactive
U00203,No,,
U00204,Yes,2024-09-27,Price
U00205,Yes,2024-04-04,Competition
U00206,Yes,2025-06-23,Inactive
U00207,Yes,2024-06-01,Competition
U00208,Yes,2025-02-05,Price
U00209,Yes,2024-07-31,Competition
U00210,Yes,2025-02-09,Price
U00211,No,,
U00212,Yes,2024-05-22,Features
U00213,Yes,2025-04-18,Price
U00214,Yes,2025-03-23,Competition
U00215,Yes,2024-07-12,Price
U00216,Yes,2024-09-02,Inactive
U00217,Yes,2025-07-11,Price
U00218,Yes,2024-09-04,Price
U00219,No,,
U00220,Yes,2024-05-09,Inactive
U00221,No,,
U00222,Yes,2024-10-17,Price
U00223,Yes,2025-01-08,Inactive
U00224,Yes,2025-02-17,Price
U00225,Yes,2024-08-10,Features
U00226,Yes,2025-08-05,Competition
U00227,Yes,2024-12-21,Inactive
U00228,Yes,2025-04-20,Inactive
U00229,Yes,2025-01-15,Price
U00230,Yes,2024-10-24,Competition
U00231,Yes,2024-06-22,Competition
U00232,Yes,2025-03-17,Inactive
U00233,Yes,2025-03-18,Features
U00234,Yes,2024-10-11,Price
U00235,Yes,2024-04-06,Price
U00236,Yes,2024-08-14,Features
U00237,Yes,2024-06-06,Competition
U00238,Yes,2025-04-18,Inactive
U00239,Yes,2024-08-01,Inactive
U00240,Yes,2024-10-23,Price
U00241,Yes,2025-06-01,Features
U00242,Yes,2024-05-07,Features
U00243,No,,
U00244,Yes,2024-03-24,Features
U00245,Yes,2024-11-13,Inactive
U00246,Yes,2025-03-15,Inactive
U00247,Yes,2025-05-09,Inactive
U00248,Yes,2024-11-11,Features
U00249,Yes,2025-04-23,Price
U00250,Yes,2025-01-18,Inactive
U00251,Yes,2025-04-26,Price
U00252,Yes,2025-05-20,Features
U00253,Yes,2024-08-26,Features
U00254,Yes,2024-10-05,Competition
U00255,Yes,2025-05-18,Competition
U00256,Yes,2024-04-02,Features
U00257,Yes,2024-05-21,Inactive
U00258,Yes,2025-02-13,Features
U00259,No,,
U00260,Yes,2024-02-26,Price
U00261,Yes,2025-01-06,Price
U00262,No,,
U00263,Yes,2024-10-30,Inactive
U00264,Yes,2024-02-04,Competition
U00265,Yes,2024-05-08,Price
U00266,Yes,2025-04-26,Price
U00267,Yes,2024-04-29,Price
U00268,Yes,2025-04-07,Price
U00269,Yes,2025-06-10,Competition
U00270,Yes,2025-03-30,Competition
U00271,Yes,2024-08-19,Features
U00272,Yes,2025-09-06,Inactive
U00273,Yes,2025-01-24,Inactive
U00274,Yes,2025-05-25,Competition
U00275,Yes,2024-11-20,Inactive
U00276,No,,
U00277,Yes,2025-06-10,Competition
U00278,Yes,2024-12-22,Competition
U00279,No,,
U00280,Yes,2025-01-10,Inactive
U00281,Yes,2024-07-29,Price
U00282,Yes,2024-11-07,Competition
U00283,Yes,2025-02-19,Features
U00284,Yes,2025-04-09,Competition
U00285,Yes,2025-05-01,Inactive
U00286,Yes,2024-06-28,Competition
U00287,Yes,2024-11-21,Inactive
U00288,Yes,2024-08-01,Price
U00289,Yes,2024-04-24,Inactive
U00290,Yes,2024-12-29,Price
U00291,Yes,2025-06-21,Features
U00292,Yes,2024-06-03,Features
U00293,Yes,2024-02-26,Competition
U00294,Yes,2025-03-12,Price
U00295,Yes,2024-09-01,Features
U00296,Yes,2024-09-11,Competition
U00297,Yes,2024-04-20,Inactive
U00298,Yes,2025-01-13,Price
U00299,Yes,2024-09-15,Features
U00300,No,,
U00301,No,,
U00302,Yes,2024-11-04,Features
U00303,No,,
U00304,Yes,2025-01-02,Competition
U00305,Yes,2024-04-08,Features
U00306,Yes,2024-10-05,Features
U00307,No,,
U00308,Yes,2024-05-17,Competition
U00309,Yes,2024-05-12,Competition
U00310,Yes,2025-07-18,Price
U00311,No,,
U00312,Yes,2024-09-20,Price
U00313,Yes,2024-05-11,Inactive
U00314,Yes,2024-06-07,Competition
U00315,Yes,2025-01-06,Competition
U00316,No,,
U00317,Yes,2024-09-16,Features
U00318,Yes,2024-10-15,Competition
U00319,Yes,2024-10-10,Features
U00320,Yes,2024-03-07,Inactive
U00321,Yes,2025-09-12,Competition
U00322,Yes,2024-07-31,Features
U00323,No,,
U00324,Yes,2024-08-07,Inactive
U00325,Yes,2025-02-15,Inactive
U00326,Yes,2024-07-09,Price
U00327,Yes,2025-03-12,Features
U00328,Yes,2025-07-13,Inactive
U00329,Yes,2025-04-09,Features
U00330,Yes,2025-03-09,Inactive
U00331,Yes,2024-11-30,Features
U00332,No,,
U00333,Yes,2024-03-21,Competition
U00334,No,,
U00335,Yes,2024-09-28,Features
U00336,Yes,2024-06-14,Price
U00337,Yes,2024-09-01,Competition
U00338,Yes,2024-09-01,Features
U00339,Yes,2025-02-22,Competition
U00340,Yes,2024-04-14,Inactive
U00341,Yes,2025-02-24,Competition
U00342,Yes,2024-09-04,Price
U00343,Yes,2025-01-30,Price
U00344,No,,
U00345,Yes,2024-08-30,Features
U00346,No,,
U00347,Yes,2024-11-06,Inactive
U00348,Yes,2024-02-04,Features
U00349,Yes,2025-03-16,Inactive
U00350,No,,
U00351,Yes,2024-11-07,Competition
U00352,Yes,2024-09-12,Price
U00353,Yes,2024-08-14,Price
U00354,Yes,2025-01-26,Inactive
U00355,Yes,2024-05-15,Competition
U00356,Yes,2025-03-26,Inactive
U00357,Yes,2024-08-28,Competition
U00358,Yes,2025-01-01,Price
U00359,Yes,2025-02-06,Price
U00360,No,,
U00361,Yes,2024-03-03,Features
U00362,Yes,2024-08-23,Inactive
U00363,Yes,2024-07-22,Features
U00364,Yes,2024-03-31,Features
U00365,Yes,2025-01-03,Inactive
U00366,Yes,2024-09-06,Price
U00367,Yes,2025-02-27,Price
U00368,Yes,2024-11-02,Features
U00369,Yes,2024-08-20,Features
U00370,Yes,2025-02-25,Competition
U00371,Yes,2024-08-28,Features
U00372,No,,
U00373,Yes,2025-06-24,Features
U00374,Yes,2025-02-01,Features
U00375,Yes,2024-08-30,Competition
U00376,Yes,2024-11-30,Features
U00377,Yes,2024-09-04,Inactive
U00378,Yes,2024-09-20,Competition
U00379,Yes,2025-01-22,Features
U00380,Yes,2025-03-17,Inactive
U00381,Yes,2025-04-22,Competition
U00382,Yes,2024-11-18,Features
U00383,Yes,2024-11-02,Price
U00384,Yes,2024-12-06,Inactive
U00385,Yes,2024-06-18,Price
U00386,No,,
U00387,Yes,2024-11-16,Competition
U00388,Yes,2024-11-12,Inactive
U00389,Yes,2024-11-10,Competition
U00390,Yes,2025-01-12,Inactive
U00391,Yes,2024-10-25,Price
U00392,Yes,2024-12-08,Price
U00393,Yes,2025-01-04,Price
U00394,Yes,2024-12-17,Competition
U00395,Yes,2025-03-27,Features
U00396,Yes,2024-04-22,Price
U00397,Yes,2024-11-14,Price
U00398,Yes,2025-03-05,Price
U00399,No,,
U00400,Yes,2024-04-24,Inactive
U00401,Yes,2025-06-15,Competition
U00402,Yes,2024-07-19,Competition
U00403,Yes,2024-06-12,Price
U00404,Yes,2025-07-20,Competition
U00405,Yes,2024-09-22,Features
U00406,Yes,2024-12-26,Features
U00407,Yes,2024-09-23,Features
U00408,No,,
U00409,Yes,2025-03-27,Features
U00410,Yes,2024-05-10,Competition
U00411,Yes,2024-10-30,Features
U00412,Yes,2024-08-16,Price
U00413,Yes,2024-12-27,Features
U00414,Yes,2024-08-14,Inactive
U00415,Yes,2024-05-30,Competition
U00416,No,,
U00417,Yes,2024-11-07,Competition
U00418,Yes,2024-01-31,Features
U00419,Yes,2024-09-27,Inactive
U00420,Yes,2024-09-08,Price
U00421,Yes,2024-06-19,Competition
