subscription_id,user_id,start_date,renewal_date,end_date,monthly_fee,status
S00001,U00001,2024-11-23,2024-12-23,2025-07-21,0,Cancelled
S00002,U00002,2024-10-29,2024-11-28,2025-04-27,0,Cancelled
S00003,U00003,2024-11-28,2024-12-28,2025-06-26,50,Cancelled
S00004,U00004,2024-03-22,2024-04-21,2024-06-20,0,Cancelled
S00005,U00005,2024-02-17,2024-03-18,2024-07-16,20,Cancelled
S00006,U00006,2024-10-01,2024-10-31,2024-10-31,50,Cancelled
S00007,U00007,2024-12-26,2025-01-25,2025-01-25,0,Cancelled
S00008,U00008,2024-05-22,2024-06-21,,20,Active
S00009,U00009,2024-12-25,2025-01-24,2025-04-24,50,Cancelled
S00010,U00010,2024-08-24,2024-09-23,2024-10-23,20,Cancelled
S00011,U00011,2024-01-17,2024-02-16,2024-05-16,50,Cancelled
S00012,U00012,2024-12-01,2024-12-31,2025-01-30,0,Cancelled
S00013,U00013,2024-10-26,2024-11-25,2024-11-25,0,Cancelled
S00014,U00014,2024-01-25,2024-02-24,2024-02-24,50,Cancelled
S00015,U00015,2024-07-14,2024-08-13,2024-08-13,0,Cancelled
S00016,U00016,2024-11-24,2024-12-24,2025-05-23,20,Cancelled
S00017,U00017,2024-09-13,2024-10-13,2025-07-10,50,Cancelled
S00018,U00018,2024-07-10,2024-08-09,2024-09-08,20,Cancelled
S00019,U00019,2024-02-27,2024-03-28,,50,Active
S00020,U00020,2024-09-05,2024-10-05,2024-11-04,20,Cancelled
S00021,U00021,2024-09-27,2024-10-27,2024-11-26,20,Cancelled
S00022,U00022,2024-08-12,2024-09-11,2025-04-09,0,Cancelled
S00023,U00023,2024-10-28,2024-11-27,2024-11-27,0,Cancelled
S00024,U00024,2024-02-04,2024-03-05,2024-03-05,20,Cancelled
S00025,U00025,2024-10-03,2024-11-02,2024-11-02,0,Cancelled
S00026,U00026,2024-04-07,2024-05-07,2024-06-06,20,Cancelled
S00027,U00027,2024-12-10,2025-01-09,2025-03-10,50,Cancelled
S00028,U00028,2024-05-07,2024-06-06,2025-03-03,20,Cancelled
S00029,U00029,2024-08-24,2024-09-23,2024-10-23,0,Cancelled
S00030,U00030,2024-05-01,2024-05-31,2024-07-30,20,Cancelled
S00031,U00031,2024-07-13,2024-08-12,2025-01-09,20,Cancelled
S00032,U00032,2024-04-07,2024-05-07,2024-12-03,20,Cancelled
S00033,U00033,2024-10-26,2024-11-25,2025-03-25,50,Cancelled
S00034,U00034,2024-02-05,2024-03-06,2024-03-06,50,Cancelled
S00035,U00035,2024-11-13,2024-12-13,2024-12-13,20,Cancelled
S00036,U00036,2024-12-08,2025-01-07,2025-01-07,0,Cancelled
S00037,U00037,2024-06-10,2024-07-10,2024-12-07,0,Cancelled
S00038,U00038,2024-09-16,2024-10-16,2025-02-13,20,Cancelled
S00039,U00039,2024-08-12,2024-09-11,2025-06-08,50,Cancelled
S00040,U00040,2024-03-09,2024-04-08,2024-06-07,20,Cancelled
S00041,U00041,2024-04-14,2024-05-14,2024-08-12,0,Cancelled
S00042,U00042,2024-05-21,2024-06-20,2024-07-20,20,Cancelled
S00043,U00043,2024-10-09,2024-11-08,2024-12-08,0,Cancelled
S00044,U00044,2024-07-08,2024-08-07,2024-11-05,0,Cancelled
S00045,U00045,2024-01-21,2024-02-20,2024-03-21,50,Cancelled
