transaction_id,user_id,transaction_date,order_value,product_category,product_name,quantity,discount,payment_method,transaction_status,refund_date
T000001,U00001,2024-11-27,216.56,Subscription,Starter,2,0,Card,Completed,
T000002,U00001,2024-11-29,30.33,Software,Starter,3,15,Net Banking,Completed,
T000003,U00001,2025-04-25,85.17,Subscription,Enterprise,2,15,UPI,Completed,
T000004,U00001,2025-05-24,374.72,Accessories,Starter,1,15,PayPal,Completed,
T000005,U00001,2025-05-23,49.43,Course,Analytics Add-on,2,0,Card,Completed,
T000006,U00001,2025-06-27,112.34,Course,Analytics Add-on,2,5,Card,Completed,
T000007,U00001,2025-06-27,387.53,Subscription,Starter,1,15,Card,Completed,
T000008,U00002,2024-10-29,454.76,Software,Pro,3,5,PayPal,Completed,
T000009,U00002,2024-10-31,47.75,Course,Pro,3,5,Card,Completed,
T000010,U00002,2024-12-31,193.33,Software,Pro,2,15,PayPal,Completed,
T000011,U00002,2024-12-29,426.85,Software,Analytics Add-on,1,20,Net Banking,Completed,
T000012,U00002,2025-02-02,409.38,Subscription,Starter,1,0,Card,Completed,
T000013,U00002,2025-02-03,376.83,Software,Enterprise,1,10,UPI,Completed,
T000014,U00002,2025-02-27,485.88,Software,Enterprise,2,10,Net Banking,Completed,
T000015,U00002,2025-02-28,337.26,Accessories,Pro,1,0,UPI,Completed,
T000016,U00002,2025-04-01,160.84,Course,Pro,3,20,UPI,Refunded,2025-04-06
T000017,U00002,2025-03-30,494.87,Software,Enterprise,3,0,PayPal,Completed,
T000018,U00003,2024-12-04,241.43,Subscription,Pro,2,0,Card,Completed,
T000019,U00003,2025-01-29,446.72,Course,Enterprise,3,0,PayPal,Completed,
T000020,U00003,2025-03-01,113.79,Software,Analytics Add-on,1,10,Card,Completed,
T000021,U00003,2025-05-31,348.2,Software,Starter,2,15,Net Banking,Refunded,2025-06-04
T000022,U00004,2024-03-23,37.75,Course,Analytics Add-on,2,10,UPI,Completed,
T000023,U00004,2024-03-24,395.57,Course,Starter,1,5,UPI,Completed,
T000024,U00004,2024-05-22,70.97,Accessories,Starter,1,0,PayPal,Completed,
T000025,U00004,2024-05-21,40.97,Course,Starter,2,15,PayPal,Completed,
T000026,U00005,2024-02-19,48.12,Course,Enterprise,1,20,Net Banking,Completed,
T000027,U00005,2024-02-19,277.17,Subscription,Enterprise,2,15,Card,Completed,
T000028,U00005,2024-04-21,330.71,Accessories,Starter,2,0,Card,Completed,
T000029,U00005,2024-06-23,448.36,Software,Analytics Add-on,1,10,PayPal,Completed,
T000030,U00007,2024-12-28,470.0,Subscription,Pro,1,10,UPI,Completed,
T000031,U00007,2024-12-30,0.0,Software,Starter,1,15,PayPal,Failed,
T000032,U00008,2024-05-27,319.75,Course,Analytics Add-on,3,15,Card,Completed,
T000033,U00008,2024-06-23,90.22,Subscription,Enterprise,2,10,Net Banking,Completed,
T000034,U00008,2024-06-26,322.84,Software,Pro,3,15,Net Banking,Completed,
T000035,U00008,2024-07-21,263.08,Software,Pro,3,0,Net Banking,Completed,
T000036,U00008,2024-07-22,35.62,Subscription,Enterprise,3,0,Card,Completed,
T000037,U00008,2024-09-24,271.41,Software,Analytics Add-on,2,5,Card,Completed,
T000038,U00008,2024-09-26,160.61,Software,Pro,2,15,UPI,Completed,
T000039,U00008,2024-10-25,206.25,Accessories,Analytics Add-on,1,5,PayPal,Completed,
T000040,U00008,2024-10-25,391.86,Course,Enterprise,3,0,PayPal,Completed,
T000041,U00008,2025-01-23,96.42,Subscription,Pro,3,5,PayPal,Completed,
T000042,U00008,2025-02-17,263.12,Subscription,Pro,2,20,Net Banking,Refunded,2025-02-23
T000043,U00008,2025-02-16,351.74,Course,Enterprise,1,10,Net Banking,Refunded,2025-02-23
T000044,U00008,2025-03-19,242.13,Course,Analytics Add-on,2,10,PayPal,Completed,
T000045,U00008,2025-04-20,262.67,Software,Enterprise,1,5,Card,Completed,
T000046,U00009,2025-01-26,120.18,Subscription,Analytics Add-on,1,20,Card,Completed,
T000047,U00009,2025-04-01,217.44,Software,Analytics Add-on,3,10,UPI,Completed,
T000048,U00009,2025-04-01,411.58,Course,Analytics Add-on,1,5,UPI,Completed,
T000049,,2024-09-28,323.49,Software,Pro,1,15,PayPal,Refunded,2024-10-02
T000050,U00010,2024-09-28,200.69,Software,Enterprise,3,15,PayPal,Completed,
T000051,U00011,2024-01-22,208.9,Course,Starter,1,15,Card,Completed,
T000052,U00011,2024-01-22,245.9,Software,Starter,2,0,Card,Completed,
T000053,U00011,2024-02-21,352.74,Software,Analytics Add-on,3,15,Net Banking,Completed,
T000054,U00011,2024-02-20,469.53,Course,Analytics Add-on,2,5,Card,Completed,
T000055,U00011,2024-03-20,24.45,Subscription,Starter,3,15,UPI,Completed,
