activity_id,user_id,activity_date,activity_type,session_duration_min,pages_viewed
A000001,U00001,2024-11-27,Browse,18,16
A000002,U00001,2024-12-23,Login,46,9
A000003,U00001,2025-01-27,Cart,29,15
A000004,U00001,2025-02-22,Purchase,44,15
A000005,U00001,2025-03-23,Feature Use,10,13
A000006,U00001,2025-04-25,Purchase,45,14
A000007,U00001,2025-05-22,Feature Use,37,19
A000008,U00001,2025-06-24,Login,18,10
A000009,U00002,2024-10-29,Purchase,19,2
A000010,U00002,2024-12-03,Cart,21,5
A000011,U00002,2024-12-28,Cart,25,19
A000012,U00002,2025-02-01,Feature Use,10,9
A000013,U00002,2025-02-26,Login,12,4
A000014,U00002,2025-03-30,Feature Use,46,12
A000015,U00003,2024-12-03,Feature Use,46,3
A000016,U00003,2024-12-31,Browse,34,12
A000017,U00003,2025-01-29,Browse,20,7
A000018,U00003,2025-03-01,Login,30,9
A000019,U00003,2025-03-29,Login,2,13
A000020,U00003,2025-04-29,Login,39,14
A000021,U00003,2025-05-28,Feature Use,38,6
A000022,U00004,2024-03-23,Browse,31,17
A000023,U00004,2024-04-22,Feature Use,2,2
A000024,U00004,2024-05-21,Browse,53,9
A000025,U00005,2024-02-19,Cart,55,4
A000026,U00005,2024-03-21,Purchase,40,11
A000027,U00005,2024-04-18,Purchase,40,20
A000028,U00005,2024-05-20,Cart,38,10
A000029,U00005,2024-06-21,Cart,22,18
A000030,U00006,2024-10-04,Feature Use,42,11
A000031,U00007,2024-12-28,Cart,31,12
A000032,U00008,2024-05-27,Login,26,5
A000033,U00008,2024-06-23,Feature Use,38,19
A000034,U00008,2024-07-21,Feature Use,30,14
A000035,U00008,2024-08-25,Browse,6,20
A000036,U00008,2024-09-23,Purchase,31,18
A000037,U00008,2024-10-22,Feature Use,7,3
A000038,U00008,2024-11-19,Browse,35,14
A000039,U00008,2024-12-22,Feature Use,10,15
A000040,U00008,2025-01-20,Login,26,11
A000041,U00008,2025-02-16,Feature Use,31,17
A000042,U00008,2025-03-18,Cart,29,6
A000043,U00008,2025-04-19,Login,18,14
A000044,U00009,2024-12-25,Purchase,45,8
A000045,U00009,2025-01-26,Feature Use,48,13
A000046,U00009,2025-02-26,Purchase,13,12
A000047,U00009,2025-03-29,Cart,41,15
A000048,U00010,2024-08-26,Feature Use,25,2
A000049,U00010,2024-09-25,Purchase,57,3
A000050,U00011,2024-01-21,Browse,20,1
A000051,U00011,2024-02-20,Browse,60,13
A000052,U00011,2024-03-19,Login,43,2
A000053,U00011,2024-04-20,Login,53,10
A000054,U00012,2024-12-06,Cart,16,9
A000055,U00012,2025-01-05,Purchase,56,20
A000056,U00013,2024-10-26,Browse,41,11
A000057,U00014,2024-01-27,Browse,23,19
A000058,U00015,2024-07-14,Feature Use,52,7
A000059,U00016,2024-11-27,Login,29,19
A000060,U00016,2024-12-27,Login,2,10
A000061,U00016,2025-01-27,Purchase,23,15
A000062,U00016,2025-02-22,Cart,3,4
A000063,U00016,2025-03-25,Purchase,17,15
A000064,U00016,2025-04-27,Purchase,11,1
A000065,U00017,2024-09-14,Login,34,8
A000066,U00017,2024-10-15,Feature Use,16,12
A000067,U00017,2024-11-16,Feature Use,57,6
A000068,U00017,2024-12-13,Purchase,3,19
A000069,U00017,2025-01-14,Login,51,17
A000070,U00017,2025-02-10,Purchase,9,8
A000071,U00017,2025-03-14,Cart,39,6
A000072,U00017,2025-04-16,Feature Use,36,3
A000073,U00017,2025-05-16,Purchase,55,12
A000074,U00017,2025-06-12,Login,9,11
A000075,U00018,2024-07-14,Cart,49,3
A000076,U00018,2024-08-14,Login,3,7
A000077,U00019,2024-02-28,Purchase,44,5
A000078,U00019,2024-04-01,Feature Use,21,12
A000079,U00019,2024-04-28,Feature Use,37,16
A000080,U00019,2024-05-27,Cart,45,5
A000081,U00019,2024-06-27,Purchase,47,18
A000082,U00019,2024-07-29,Browse,58,15
A000083,U00019,2024-08-30,Browse,59,10
A000084,U00019,2024-09-24,Purchase,3,6
A000085,U00019,2024-10-27,Browse,25,1
A000086,U00019,2024-11-23,Browse,29,3
A000087,U00019,2024-12-27,Feature Use,38,6
A000088,U00019,2025-01-23,Browse,39,17
A000089,U00020,2024-09-05,Cart,4,16
A000090,U00020,2024-10-05,Login,34,14
A000091,U00021,2024-09-29,Login,25,15
A000092,U00021,2024-11-01,Login,36,12
A000093,U00022,2024-08-17,Browse,47,5
A000094,U00022,2024-09-16,Feature Use,30,7
A000095,U00022,2024-10-13,Browse,4,4
A000096,U00022,2024-11-14,Feature Use,54,18
A000097,U00022,2024-12-14,Feature Use,12,8
A000098,U00022,2025-01-10,Cart,51,5
A000099,U00022,2025-02-13,Login,49,3
A000100,U00022,2025-03-15,Feature Use,19,18
A000101,U00023,2024-10-31,Cart,26,19
A000102,U00024,2024-02-09,Login,31,7
A000103,U00025,2024-10-06,Cart,12,4
A000104,U00026,2024-04-09,Purchase,31,20
A000105,U00026,2024-05-10,Login,27,18
A000106,U00027,2024-12-13,Login,49,2
A000107,U00027,2025-01-11,Purchase,32,16
A000108,U00027,2025-02-11,Feature Use,9,13
A000109,U00028,2024-05-08,Browse,9,5
A000110,U00028,2024-06-11,Purchase,34,19
A000111,U00028,2024-07-08,Feature Use,26,11
A000112,U00028,2024-08-07,Login,29,17
A000113,U00028,2024-09-08,Browse,55,7
A000114,U00028,2024-10-05,Login,36,6
A000115,U00028,2024-11-05,Browse,52,13
A000116,U00028,2024-12-07,Cart,36,13
A000117,U00028,2025-01-02,Cart,37,7
A000118,U00028,2025-02-01,Browse,3,12
A000119,U00029,2024-08-29,Browse,50,4
A000120,U00029,2024-09-24,Feature Use,32,19
A000121,U00030,2024-05-02,Browse,29,6
A000122,U00030,2024-06-04,Feature Use,4,7
A000123,U00030,2024-07-05,Cart,48,7
A000124,U00031,2024-07-16,Browse,50,11
A000125,U00031,2024-08-17,Feature Use,13,5
A000126,U00031,2024-09-13,Cart,31,5
A000127,U00031,2024-10-14,Login,53,19
A000128,U00031,2024-11-10,Purchase,47,16
A000129,U00031,2024-12-15,Purchase,49,5
A000130,U00032,2024-04-10,Purchase,44,18
A000131,U00032,2024-05-12,Login,57,5
A000132,U00032,2024-06-11,Cart,20,15
A000133,U00032,2024-07-09,Purchase,4,20
A000134,U00032,2024-08-06,Browse,54,6
A000135,U00032,2024-09-07,Login,40,8
A000136,U00032,2024-10-08,Login,43,3
A000137,U00032,2024-11-03,Cart,58,17
A000138,U00033,2024-10-29,Login,18,8
A000139,U00033,2024-11-29,Feature Use,42,16
A000140,U00033,2024-12-25,Login,2,6
A000141,U00033,2025-01-24,Login,16,19
A000142,U00033,2025-02-23,Cart,3,19
A000143,U00034,2024-02-08,Login,49,20
A000144,U00035,2024-11-15,Login,4,13
A000145,U00036,2024-12-11,Purchase,49,17
A000146,U00037,2024-06-14,Login,57,6
A000147,U00037,2024-07-10,Browse,51,14
A000148,U00037,2024-08-09,Browse,26,18
A000149,U00037,2024-09-11,Purchase,41,8
A000150,U00037,2024-10-09,Purchase,35,8
A000151,U00037,2024-11-10,Login,28,6
A000152,U00038,2024-09-17,Login,18,12
A000153,U00038,2024-10-18,Browse,43,2
A000154,U00038,2024-11-15,Feature Use,51,16
A000155,U00038,2024-12-16,Cart,49,1
A000156,U00038,2025-01-19,Login,15,19
A000157,U00039,2024-08-12,Feature Use,5,2
A000158,U00039,2024-09-11,Login,57,13
A000159,U00039,2024-10-16,Purchase,57,5
A000160,U00039,2024-11-15,Feature Use,16,16
A000161,U00039,2024-12-15,Purchase,35,16
A000162,U00039,2025-01-09,Purchase,33,6
A000163,U00039,2025-02-13,Cart,31,2
A000164,U00039,2025-03-12,Browse,15,8
A000165,U00039,2025-04-11,Login,44,9
A000166,U00039,2025-05-14,Purchase,44,11
A000167,U00040,2024-03-12,Browse,18,8
A000168,U00040,2024-04-13,Browse,7,18
A000169,U00040,2024-05-11,Login,2,13
A000170,U00041,2024-04-15,Browse,14,20
A000171,U00041,2024-05-15,Login,52,11
A000172,U00041,2024-06-17,Purchase,53,7
A000173,U00041,2024-07-18,Browse,6,7
A000174,U00042,2024-05-25,Browse,60,14
A000175,U00042,2024-06-20,Feature Use,30,8
A000176,U00043,2024-10-10,Cart,43,12
A000177,U00043,2024-11-13,Login,9,14
A000178,U00044,2024-07-11,Purchase,44,11
A000179,U00044,2024-08-09,Purchase,42,18
A000180,U00044,2024-09-06,Feature Use,60,1
A000181,U00044,2024-10-06,Cart,45,4
A000182,U00045,2024-01-21,Feature Use,21,5
A000183,U00045,2024-02-25,Login,27,19
A000184,U00046,2024-05-01,Cart,12,8
A000185,U00046,2024-05-31,Browse,2,1
A000186,U00047,2024-12-08,Login,20,19
A000187,U00047,2025-01-11,Login,32,2
A000188,U00047,2025-02-07,Login,2,7
A000189,U00047,2025-03-12,Cart,57,1
A000190,U00048,2024-09-02,Purchase,59,5
A000191,U00048,2024-10-01,Browse,19,8
A000192,U00049,2024-12-05,Cart,45,19
A000193,U00050,2024-12-18,Feature Use,4,8
A000194,U00051,2024-02-28,Browse,48,1
A000195,U00052,2024-10-27,Login,7,5
A000196,U00052,2024-11-24,Cart,44,20
A000197,U00052,2024-12-23,Purchase,24,20
A000198,U00052,2025-01-24,Purchase,44,17
A000199,U00052,2025-02-19,Login,15,9
A000200,U00052,2025-03-26,Cart,34,3
A000201,U00052,2025-04-23,Feature Use,34,17
A000202,U00052,2025-05-22,Browse,59,1
A000203,U00053,2024-08-11,Login,52,5
A000204,U00054,2024-09-18,Feature Use,13,15
A000205,U00054,2024-10-20,Feature Use,37,1
A000206,U00055,2024-04-11,Browse,9,16
A000207,U00055,2024-05-10,Browse,51,3
A000208,U00055,2024-06-11,Cart,15,11
A000209,U00055,2024-07-07,Feature Use,2,19
A000210,U00055,2024-08-11,Browse,7,17
A000211,U00055,2024-09-08,Cart,48,13
A000212,U00055,2024-10-09,Login,45,18
A000213,U00055,2024-11-06,Feature Use,27,2
A000214,U00056,2024-10-12,Cart,34,14
A000215,U00056,2024-11-06,Cart,5,11
A000216,U00056,2024-12-07,Feature Use,44,12
A000217,U00056,2025-01-05,Feature Use,58,19
A000218,U00056,2025-02-04,Login,16,18
A000219,U00056,2025-03-06,Feature Use,35,7
A000220,U00057,2024-08-17,Cart,7,5
A000221,U00057,2024-09-14,Cart,45,20
A000222,U00057,2024-10-15,Cart,48,2
A000223,U00057,2024-11-13,Browse,39,11
A000224,U00057,2024-12-15,Feature Use,51,20
A000225,U00057,2025-01-15,Purchase,13,2
A000226,U00057,2025-02-14,Login,7,6
A000227,U00057,2025-03-13,Browse,31,3
A000228,U00057,2025-04-15,Cart,34,20
A000229,U00057,2025-05-12,Browse,56,19
A000230,U00057,2025-06-13,Browse,35,17
A000231,U00057,2025-07-13,Cart,54,1
A000232,U00058,2024-09-20,Browse,14,11
A000233,U00058,2024-10-24,Browse,5,4
A000234,U00058,2024-11-20,Cart,40,12
A000235,U00058,2024-12-19,Browse,30,13
A000236,U00058,2025-01-23,Cart,51,3
A000237,U00058,2025-02-20,Feature Use,43,20
A000238,U00058,2025-03-24,Login,47,1
A000239,U00058,2025-04-18,Login,50,11
A000240,U00058,2025-05-19,Cart,50,6
A000241,U00059,2024-04-11,Browse,33,7
A000242,U00059,2024-05-15,Login,56,17
A000243,U00059,2024-06-13,Login,52,8
A000244,U00059,2024-07-13,Browse,52,19
A000245,U00059,2024-08-10,Login,42,13
A000246,U00059,2024-09-09,Login,50,5
A000247,U00059,2024-10-12,Purchase,34,19
A000248,U00059,2024-11-07,Purchase,52,3
A000249,U00060,2024-08-03,Login,9,1
A000250,U00060,2024-09-01,Purchase,46,12
A000251,U00060,2024-09-30,Purchase,25,17
A000252,U00061,2024-12-03,Cart,27,6
A000253,U00062,2024-10-16,Cart,12,20
A000254,U00062,2024-11-15,Purchase,41,1
A000255,U00062,2024-12-12,Login,8,7
A000256,U00062,2025-01-15,Login,52,3
A000257,U00062,2025-02-10,Cart,17,8
A000258,U00062,2025-03-12,Login,40,1
A000259,U00063,2024-11-12,Purchase,46,9
A000260,U00063,2024-12-09,Cart,30,1
A000261,U00064,2024-05-14,Cart,16,18
A000262,U00064,2024-06-13,Purchase,9,14
A000263,U00064,2024-07-11,Feature Use,40,6
A000264,U00064,2024-08-14,Login,45,1
A000265,U00064,2024-09-10,Browse,4,8
A000266,U00064,2024-10-10,Purchase,9,2
A000267,U00064,2024-11-12,Login,29,4
A000268,U00064,2024-12-11,Login,31,13
A000269,U00064,2025-01-11,Feature Use,20,3
A000270,U00064,2025-02-09,Cart,26,16
A000271,U00064,2025-03-13,Feature Use,52,14
A000272,U00064,2025-04-09,Login,20,19
A000273,U00065,2024-08-13,Login,36,8
A000274,U00065,2024-09-17,Cart,34,10
A000275,U00065,2024-10-13,Feature Use,51,8
A000276,U00066,2024-03-11,Purchase,44,10
A000277,U00066,2024-04-14,Cart,23,4
A000278,U00067,2024-08-05,Login,49,2
A000279,U00067,2024-09-02,Purchase,7,11
A000280,U00067,2024-10-04,Purchase,36,18
A000281,U00068,2024-07-21,Cart,45,20
A000282,U00068,2024-08-22,Browse,53,17
A000283,U00068,2024-09-16,Purchase,18,12
A000284,U00068,2024-10-17,Purchase,30,13
A000285,U00068,2024-11-16,Login,8,19
A000286,U00068,2024-12-17,Browse,7,2
A000287,U00068,2025-01-17,Login,16,12
A000288,U00068,2025-02-17,Browse,54,8
A000289,U00068,2025-03-16,Login,29,12
A000290,U00068,2025-04-15,Browse,2,5
A000291,U00068,2025-05-17,Feature Use,29,4
A000292,U00069,2024-07-22,Browse,25,10
A000293,U00069,2024-08-19,Browse,45,11
A000294,U00069,2024-09-18,Cart,45,6
A000295,U00069,2024-10-17,Purchase,2,12
A000296,U00069,2024-11-19,Cart,22,7
A000297,U00070,2024-09-09,Purchase,35,9
A000298,U00071,2024-03-10,Purchase,7,17
A000299,U00071,2024-04-10,Cart,42,19
A000300,U00071,2024-05-09,Browse,44,19
A000301,U00071,2024-06-08,Login,31,9
A000302,U00071,2024-07-08,Purchase,51,15
A000303,U00071,2024-08-07,Login,16,5
A000304,U00071,2024-09-07,Cart,23,4
A000305,U00071,2024-10-02,Cart,10,15
A000306,U00071,2024-11-02,Browse,20,14
A000307,U00071,2024-12-03,Cart,50,2
A000308,U00071,2025-01-03,Feature Use,57,6
A000309,U00071,2025-02-02,Cart,60,9
A000310,U00072,2024-11-26,Login,14,1
A000311,U00072,2024-12-30,Cart,15,6
A000312,U00072,2025-01-24,Purchase,21,18
A000313,U00072,2025-02-24,Cart,48,20
A000314,U00072,2025-03-29,Login,33,5
A000315,U00073,2024-04-20,Browse,54,16
A000316,U00073,2024-05-22,Purchase,37,6
A000317,U00073,2024-06-18,Browse,23,20
A000318,U00073,2024-07-20,Cart,43,5
A000319,U00073,2024-08-21,Browse,20,17
A000320,U00073,2024-09-16,Cart,22,9
A000321,U00073,2024-10-20,Feature Use,23,3
A000322,U00073,2024-11-18,Feature Use,9,12
A000323,U00073,2024-12-17,Cart,48,17
A000324,U00073,2025-01-14,Purchase,38,1
A000325,U00074,2024-09-01,Feature Use,16,16
A000326,U00074,2024-10-01,Feature Use,22,5
A000327,U00075,2024-01-16,Cart,5,10
A000328,U00075,2024-02-18,Browse,49,16
A000329,U00076,2024-12-11,Cart,3,12
A000330,U00076,2025-01-12,Purchase,32,12
A000331,U00076,2025-02-11,Feature Use,39,7
A000332,U00076,2025-03-10,Purchase,57,5
A000333,U00077,2024-11-11,Cart,18,8
A000334,U00077,2024-12-08,Purchase,46,1
A000335,U00077,2025-01-05,Login,43,4
A000336,U00077,2025-02-06,Login,11,12
A000337,U00077,2025-03-08,Browse,27,3
A000338,U00078,2024-10-25,Cart,58,13
A000339,U00078,2024-11-22,Login,13,15
A000340,U00078,2024-12-24,Browse,51,1
A000341,U00078,2025-01-19,Login,34,9
A000342,U00078,2025-02-22,Browse,26,19
A000343,U00079,2024-12-24,Purchase,35,10
A000344,U00079,2025-01-24,Feature Use,14,7
A000345,U00079,2025-02-22,Browse,9,10
A000346,U00080,2024-12-05,Cart,20,3
A000347,U00080,2025-01-05,Browse,11,1
A000348,U00081,2024-08-11,Feature Use,25,5
A000349,U00081,2024-09-10,Browse,6,3
A000350,U00081,2024-10-10,Feature Use,15,20
A000351,U00081,2024-11-08,Login,26,10
A000352,U00081,2024-12-09,Login,10,4
A000353,U00081,2025-01-10,Feature Use,23,19
A000354,U00081,2025-02-05,Cart,46,1
A000355,U00081,2025-03-11,Browse,16,3
A000356,U00081,2025-04-11,Feature Use,53,12
A000357,U00081,2025-05-08,Browse,9,14
A000358,U00081,2025-06-10,Cart,59,9
A000359,U00081,2025-07-10,Browse,41,18
A000360,U00082,2024-08-29,Login,10,16
A000361,U00082,2024-09-29,Browse,51,13
A000362,U00082,2024-10-28,Cart,12,11
A000363,U00082,2024-11-28,Cart,33,4
A000364,U00082,2024-12-24,Purchase,46,3
A000365,U00082,2025-01-24,Feature Use,37,20
A000366,U00082,2025-02-22,Browse,10,2
A000367,U00082,2025-03-27,Login,38,13
A000368,U00083,2024-08-20,Feature Use,27,3
A000369,U00083,2024-09-20,Feature Use,54,1
A000370,U00084,2024-09-10,Browse,15,3
A000371,U00084,2024-10-10,Browse,33,7
A000372,U00084,2024-11-09,Purchase,58,4
A000373,U00084,2024-12-14,Login,5,16
A000374,U00084,2025-01-11,Purchase,25,18
A000375,U00085,2024-11-05,Cart,9,17
A000376,U00085,2024-12-02,Feature Use,56,3
A000377,U00086,2024-07-30,Login,28,18
A000378,U00086,2024-08-28,Purchase,30,2
A000379,U00086,2024-09-27,Browse,54,1
A000380,U00086,2024-10-28,Cart,30,20
A000381,U00086,2024-11-28,Purchase,10,20
A000382,U00086,2024-12-24,Browse,12,12
A000383,U00086,2025-01-28,Purchase,25,4
A000384,U00086,2025-02-22,Cart,39,8
A000385,U00086,2025-03-24,Cart,56,19
A000386,U00087,2024-01-14,Cart,7,11
A000387,U00087,2024-02-08,Browse,33,14
A000388,U00088,2024-09-01,Feature Use,8,14
A000389,U00088,2024-10-03,Cart,31,8
A000390,U00088,2024-11-03,Purchase,31,11
A000391,U00088,2024-11-29,Purchase,10,18
A000392,U00088,2024-12-28,Feature Use,30,17
A000393,U00088,2025-01-31,Feature Use,42,19
A000394,U00089,2024-12-27,Purchase,17,5
A000395,U00089,2025-01-28,Purchase,5,12
A000396,U00089,2025-02-28,Cart,10,8
A000397,U00089,2025-03-28,Feature Use,55,11
A000398,U00089,2025-04-29,Feature Use,15,1
A000399,U00090,2024-03-05,Purchase,47,1
A000400,U00090,2024-04-05,Login,22,11
A000401,U00090,2024-05-05,Browse,11,17
A000402,U00091,2024-10-30,Purchase,10,4
A000403,U00091,2024-12-01,Feature Use,12,13
A000404,U00091,2024-12-29,Feature Use,20,11
A000405,U00091,2025-01-30,Feature Use,48,18
A000406,U00091,2025-02-28,Browse,39,5
A000407,U00091,2025-03-31,Purchase,33,8
A000408,U00091,2025-04-30,Cart,33,9
A000409,U00092,2024-04-01,Feature Use,11,18
A000410,U00092,2024-05-06,Browse,3,5
A000411,U00092,2024-05-31,Login,4,20
A000412,U00092,2024-07-01,Purchase,30,5
A000413,U00092,2024-08-03,Feature Use,10,14
A000414,U00092,2024-08-31,Cart,10,10
A000415,U00092,2024-09-28,Feature Use,38,10
A000416,U00092,2024-11-02,Cart,57,14
A000417,U00093,2024-12-26,Feature Use,25,16
A000418,U00094,2024-09-02,Login,37,17
A000419,U00094,2024-10-03,Login,17,4
A000420,U00094,2024-11-05,Purchase,2,17
A000421,U00094,2024-12-02,Cart,40,12
A000422,U00095,2024-07-25,Feature Use,34,18
A000423,U00096,2024-05-12,Cart,22,8
A000424,U00096,2024-06-10,Cart,12,1
A000425,U00096,2024-07-10,Browse,23,2
A000426,U00096,2024-08-10,Cart,56,18
A000427,U00096,2024-09-08,Login,56,4
A000428,U00096,2024-10-04,Login,10,4
A000429,U00096,2024-11-04,Browse,23,15
A000430,U00096,2024-12-06,Cart,40,3
A000431,U00096,2025-01-06,Purchase,51,9
A000432,U00096,2025-02-06,Purchase,9,7
A000433,U00096,2025-03-03,Purchase,55,13
A000434,U00096,2025-04-03,Browse,49,14
A000435,U00097,2024-08-18,Purchase,40,13
A000436,U00098,2024-04-21,Feature Use,10,10
A000437,U00098,2024-05-19,Purchase,7,15
A000438,U00099,2024-03-26,Purchase,59,3
A000439,U00099,2024-04-20,Login,5,12
A000440,U00099,2024-05-20,Browse,11,10
A000441,U00099,2024-06-22,Browse,34,20
A000442,U00100,2024-04-30,Login,32,13
A000443,U00100,2024-05-28,Cart,51,19
A000444,U00101,2024-11-17,Cart,6,12
A000445,U00102,2024-05-17,Cart,39,2
A000446,U00102,2024-06-19,Cart,60,7
A000447,U00103,2024-03-08,Login,60,5
A000448,U00104,2024-02-13,Browse,53,1
A000449,U00104,2024-03-12,Purchase,31,12
A000450,U00104,2024-04-15,Browse,49,13
A000451,U00104,2024-05-14,Purchase,31,5
A000452,U00104,2024-06-14,Browse,14,7
A000453,U00104,2024-07-10,Browse,18,3
A000454,U00104,2024-08-11,Feature Use,4,16
A000455,U00105,2024-04-27,Login,55,4
A000456,U00105,2024-05-31,Browse,19,11
A000457,U00105,2024-07-01,Browse,15,12
A000458,U00105,2024-07-26,Purchase,56,5
A000459,U00105,2024-08-30,Cart,7,2
A000460,U00105,2024-09-29,Purchase,28,8
A000461,U00105,2024-10-28,Login,35,2
A000462,U00106,2024-08-28,Login,21,19
A000463,U00106,2024-09-28,Purchase,39,14
A000464,U00106,2024-10-31,Browse,25,13
A000465,U00106,2024-11-26,Purchase,37,19
A000466,U00107,2024-02-19,Browse,54,17
A000467,U00107,2024-03-19,Login,6,5
A000468,U00107,2024-04-17,Browse,37,3
A000469,U00108,2024-06-22,Cart,37,7
A000470,U00108,2024-07-17,Feature Use,49,13
A000471,U00108,2024-08-19,Browse,57,2
A000472,U00108,2024-09-17,Purchase,6,13
A000473,U00109,2024-02-15,Browse,9,10
A000474,U00109,2024-03-16,Cart,10,3
A000475,U00109,2024-04-16,Browse,3,6
A000476,U00109,2024-05-17,Purchase,19,2
A000477,U00109,2024-06-18,Login,4,12
A000478,U00109,2024-07-15,Browse,55,5
A000479,U00110,2024-08-03,Browse,51,7
A000480,U00110,2024-08-30,Login,7,17
A000481,U00110,2024-10-01,Login,39,17
A000482,U00111,2024-04-15,Login,6,8
A000483,U00111,2024-05-15,Cart,43,8
A000484,U00111,2024-06-15,Cart,43,8
A000485,U00111,2024-07-14,Browse,14,13
A000486,U00112,2024-01-19,Feature Use,42,19
A000487,U00112,2024-02-17,Browse,10,19
A000488,U00112,2024-03-15,Browse,16,9
A000489,U00113,2024-02-21,Login,46,13
A000490,U00113,2024-03-18,Login,3,19
A000491,U00113,2024-04-22,Feature Use,17,7
A000492,U00113,2024-05-19,Feature Use,43,5
A000493,U00114,2024-09-17,Browse,53,14
A000494,U00114,2024-10-21,Feature Use,51,15
A000495,U00114,2024-11-21,Browse,25,16
A000496,U00114,2024-12-17,Feature Use,15,19
A000497,U00114,2025-01-20,Browse,14,18
