user_id,signup_date,acquisition_channel,campaign,country,city,device,subscription_plan,gender,age_group
U00001,2024-11-23,Organic,CMP109,India,Chennai,Mobile,Free,Male,18-24
U00002,2024-10-29,Organic,CMP101,Germany,Berlin,Mobile,Free,Male,25-34
U00003,2024-11-28,Referral,CMP114,Australia,Sydney,Desktop,Premium,Female,18-24
U00004,2024-03-22,LinkedIn,CMP111,Australia,Melbourne,Mobile,Free,Female,18-24
U00005,2024-02-17,Organic,CMP112,Germany,Munich,Tablet,Basic,Male,45-54
U00006,2024-10-01,LinkedIn,CMP103,India,Bengaluru,Desktop,Premium,Female,25-34
U00007,2024-12-26,Organic,CMP108,India,Coimbatore,Mobile,Free,Male,45-54
U00008,2024-05-22,Black Friday,CMP112,Germany,Berlin,Desktop,Basic,Male,35-44
U00009,2024-12-25,Black Friday,CMP103,Australia,Sydney,Tablet,Premium,Male,25-34
U00010,2024-08-24,Facebook,CMP118,Germany,Berlin,Tablet,Basic,Male,25-34
U00011,2024-01-17,LinkedIn,CMP109,UK,London,Mobile,Premium,Female,25-34
U00012,2024-12-01,LinkedIn,CMP115,Germany,Berlin,Desktop,Free,Male,35-44
U00013,2024-10-26,Referral,CMP113,Germany,Munich,Mobile,Free,Female,18-24
U00014,2024-01-25,Google Ads,CMP106,India,Bengaluru,Desktop,Premium,Male,45-54
U00015,2024-07-14,LinkedIn,CMP117,Canada,Vancouver,Tablet,Free,Male,35-44
U00016,2024-11-24,Organic,CMP110,UK,Manchester,Mobile,Basic,Male,35-44
U00017,2024-09-13,Referral,CMP104,USA,Seattle,Desktop,Premium,Male,25-34
U00018,2024-07-10,Referral,CMP117,USA,New York,Tablet,Basic,Female,18-24
U00019,2024-02-27,Facebook,CMP108,UK,London,Mobile,Premium,Male,18-24
U00020,2024-09-05,Referral,CMP105,India,Chennai,Tablet,Basic,Male,35-44
U00021,2024-09-27,LinkedIn,CMP107,Canada,Toronto,Tablet,Basic,Female,35-44
U00022,2024-08-12,LinkedIn,CMP104,Canada,Toronto,Mobile,Free,Female,18-24
U00023,2024-10-28,Google Ads,CMP119,Canada,Toronto,Mobile,Free,Male,25-34
U00024,2024-02-04,Facebook,CMP103,India,Bengaluru,Mobile,Basic,Female,25-34
U00025,2024-10-03,Black Friday,CMP119,USA,Seattle,Desktop,Free,Female,45-54
U00026,2024-04-07,Organic,CMP114,India,Coimbatore,Desktop,Basic,Female,18-24
U00027,2024-12-10,Black Friday,CMP104,Australia,Sydney,Desktop,Premium,Female,18-24
U00028,2024-05-07,Google Ads,CMP118,USA,Austin,Mobile,Basic,Male,35-44
U00029,2024-08-24,Organic,CMP115,USA,Seattle,Mobile,Free,Male,18-24
U00030,2024-05-01,LinkedIn,CMP116,USA,Austin,Mobile,Basic,Male,25-34
