transaction_id,user_id,transaction_date,order_value,product_category,product_name,quantity,discount,payment_method,first_transaction_date,cohort_month
T000001,U00001,2024-11-27,216.56,Subscription,Starter,2,0,Card,2024-11-27,2024-11
T000002,U00001,2024-11-29,30.33,Software,Starter,3,15,Net Banking,2024-11-27,2024-11
T000003,U00001,2025-04-25,85.17,Subscription,Enterprise,2,15,UPI,2024-11-27,2024-11
T000004,U00001,2025-05-24,374.72,Accessories,Starter,1,15,PayPal,2024-11-27,2024-11
T000005,U00001,2025-05-23,49.43,Course,Analytics Add-on,2,0,Card,2024-11-27,2024-11
T000006,U00001,2025-06-27,112.34,Course,Analytics Add-on,2,5,Card,2024-11-27,2024-11
T000007,U00001,2025-06-27,387.53,Subscription,Starter,1,15,Card,2024-11-27,2024-11
T000008,U00002,2024-10-29,454.76,Software,Pro,3,5,PayPal,2024-10-29,2024-10
T000009,U00002,2024-10-31,47.75,Course,Pro,3,5,Card,2024-10-29,2024-10
T000010,U00002,2024-12-31,193.33,Software,Pro,2,15,PayPal,2024-10-29,2024-10
T000011,U00002,2024-12-29,426.85,Software,Analytics Add-on,1,20,Net Banking,2024-10-29,2024-10
T000012,U00002,2025-02-02,409.38,Subscription,Starter,1,0,Card,2024-10-29,2024-10
T000013,U00002,2025-02-03,376.83,Software,Enterprise,1,10,UPI,2024-10-29,2024-10
T000014,U00002,2025-02-27,485.88,Software,Enterprise,2,10,Net Banking,2024-10-29,2024-10
T000015,U00002,2025-02-28,337.26,Accessories,Pro,1,0,UPI,2024-10-29,2024-10
T000017,U00002,2025-03-30,494.87,Software,Enterprise,3,0,PayPal,2024-10-29,2024-10
T000018,U00003,2024-12-04,241.43,Subscription,Pro,2,0,Card,2024-12-04,2024-12
T000019,U00003,2025-01-29,446.72,Course,Enterprise,3,0,PayPal,2024-12-04,2024-12
T000020,U00003,2025-03-01,113.79,Software,Analytics Add-on,1,10,Card,2024-12-04,2024-12
T000022,U00004,2024-03-23,37.75,Course,Analytics Add-on,2,10,UPI,2024-03-23,2024-03
T000023,U00004,2024-03-24,395.57,Course,Starter,1,5,UPI,2024-03-23,2024-03
T000024,U00004,2024-05-22,70.97,Accessories,Starter,1,0,PayPal,2024-03-23,2024-03
T000025,U00004,2024-05-21,40.97,Course,Starter,2,15,PayPal,2024-03-23,2024-03
T000026,U00005,2024-02-19,48.12,Course,Enterprise,1,20,Net Banking,2024-02-19,2024-02
T000027,U00005,2024-02-19,277.17,Subscription,Enterprise,2,15,Card,2024-02-19,2024-02
T000028,U00005,2024-04-21,330.71,Accessories,Starter,2,0,Card,2024-02-19,2024-02
T000029,U00005,2024-06-23,448.36,Software,Analytics Add-on,1,10,PayPal,2024-02-19,2024-02
T000030,U00007,2024-12-28,470.0,Subscription,Pro,1,10,UPI,2024-12-28,2024-12
T000032,U00008,2024-05-27,319.75,Course,Analytics Add-on,3,15,Card,2024-05-27,2024-05
T000033,U00008,2024-06-23,90.22,Subscription,Enterprise,2,10,Net Banking,2024-05-27,2024-05
T000034,U00008,2024-06-26,322.84,Software,Pro,3,15,Net Banking,2024-05-27,2024-05
T000035,U00008,2024-07-21,263.08,Software,Pro,3,0,Net Banking,2024-05-27,2024-05
T000036,U00008,2024-07-22,35.62,Subscription,Enterprise,3,0,Card,2024-05-27,2024-05
T000037,U00008,2024-09-24,271.41,Software,Analytics Add-on,2,5,Card,2024-05-27,2024-05
T000038,U00008,2024-09-26,160.61,Software,Pro,2,15,UPI,2024-05-27,2024-05
T000039,U00008,2024-10-25,206.25,Accessories,Analytics Add-on,1,5,PayPal,2024-05-27,2024-05
T000040,U00008,2024-10-25,391.86,Course,Enterprise,3,0,PayPal,2024-05-27,2024-05
T000041,U00008,2025-01-23,96.42,Subscription,Pro,3,5,PayPal,2024-05-27,2024-05
T000044,U00008,2025-03-19,242.13,Course,Analytics Add-on,2,10,PayPal,2024-05-27,2024-05
T000045,U00008,2025-04-20,262.67,Software,Enterprise,1,5,Card,2024-05-27,2024-05
T000046,U00009,2025-01-26,120.18,Subscription,Analytics Add-on,1,20,Card,2025-01-26,2025-01
T000047,U00009,2025-04-01,217.44,Software,Analytics Add-on,3,10,UPI,2025-01-26,2025-01
T000048,U00009,2025-04-01,411.58,Course,Analytics Add-on,1,5,UPI,2025-01-26,2025-01
T000050,U00010,2024-09-28,200.69,Software,Enterprise,3,15,PayPal,2024-09-28,2024-09
T000051,U00011,2024-01-22,208.9,Course,Starter,1,15,Card,2024-01-22,2024-01
T000052,U00011,2024-01-22,245.9,Software,Starter,2,0,Card,2024-01-22,2024-01
T000053,U00011,2024-02-21,352.74,Software,Analytics Add-on,3,15,Net Banking,2024-01-22,2024-01
T000054,U00011,2024-02-20,469.53,Course,Analytics Add-on,2,5,Card,2024-01-22,2024-01
T000055,U00011,2024-03-20,24.45,Subscription,Starter,3,15,UPI,2024-01-22,2024-01
T000056,U00011,2024-03-19,76.59,Subscription,Analytics Add-on,1,20,Card,2024-01-22,2024-01
T000057,U00012,2024-12-08,182.65,Software,Analytics Add-on,3,10,UPI,2024-12-08,2024-12
T000060,U00016,2024-11-29,482.53,Subscription,Pro,3,15,Card,2024-11-29,2024-11
T000062,U00016,2024-12-28,65.07,Subscription,Enterprise,3,0,Card,2024-11-29,2024-11
T000063,U00016,2024-12-27,273.06,Accessories,Starter,3,20,UPI,2024-11-29,2024-11
T000064,U00016,2025-02-24,312.65,Course,Pro,2,5,PayPal,2024-11-29,2024-11
T000065,U00016,2025-04-29,319.35,Course,Enterprise,1,20,Card,2024-11-29,2024-11
T000066,U00016,2025-04-28,299.34,Accessories,Starter,3,10,PayPal,2024-11-29,2024-11
T000067,U00017,2024-09-16,249.79,Software,Pro,1,20,PayPal,2024-09-14,2024-09
T000068,U00017,2024-09-14,412.17,Accessories,Analytics Add-on,1,20,Net Banking,2024-09-14,2024-09
T000069,U00017,2024-10-18,317.15,Course,Enterprise,2,10,UPI,2024-09-14,2024-09
T000070,U00017,2025-01-16,453.51,Accessories,Pro,2,15,UPI,2024-09-14,2024-09
T000071,U00017,2025-01-17,231.6,Subscription,Starter,2,20,Card,2024-09-14,2024-09
T000073,U00017,2025-03-17,204.62,Accessories,Enterprise,3,20,PayPal,2024-09-14,2024-09
T000074,U00017,2025-05-19,365.25,Software,Enterprise,1,15,PayPal,2024-09-14,2024-09
T000075,U00019,2024-02-29,486.14,Subscription,Pro,1,10,PayPal,2024-02-29,2024-02
T000076,U00019,2024-02-29,284.32,Subscription,Starter,3,0,UPI,2024-02-29,2024-02
T000077,U00019,2024-04-01,281.3,Course,Analytics Add-on,3,0,Net Banking,2024-02-29,2024-02
T000079,U00019,2024-05-30,213.33,Subscription,Enterprise,2,20,Net Banking,2024-02-29,2024-02
T000080,U00019,2024-05-28,312.7,Accessories,Pro,1,0,Net Banking,2024-02-29,2024-02
T000081,U00019,2024-08-01,421.92,Accessories,Pro,3,15,PayPal,2024-02-29,2024-02
T000083,U00019,2024-10-28,442.5,Course,Pro,2,0,Net Banking,2024-02-29,2024-02
T000084,U00019,2024-10-28,195.92,Accessories,Analytics Add-on,1,0,UPI,2024-02-29,2024-02
T000085,U00019,2025-01-25,363.68,Course,Starter,1,5,Net Banking,2024-02-29,2024-02
T000087,U00020,2024-09-06,470.37,Accessories,Pro,1,5,PayPal,2024-09-06,2024-09
T000088,U00020,2024-10-06,438.78,Accessories,Starter,1,5,Net Banking,2024-09-06,2024-09
T000090,U00021,2024-09-30,293.03,Course,Enterprise,3,5,PayPal,2024-09-30,2024-09
T000091,U00021,2024-11-03,50.2,Subscription,Enterprise,3,0,PayPal,2024-09-30,2024-09
T000092,U00021,2024-11-03,479.23,Accessories,Enterprise,2,5,UPI,2024-09-30,2024-09
T000093,U00022,2024-08-19,293.42,Software,Enterprise,2,20,Net Banking,2024-08-19,2024-08
T000094,U00022,2024-10-13,238.03,Software,Analytics Add-on,2,5,Card,2024-08-19,2024-08
T000095,U00022,2024-10-16,268.73,Course,Pro,2,20,Card,2024-08-19,2024-08
T000097,U00022,2024-12-16,191.51,Software,Starter,3,20,UPI,2024-08-19,2024-08
T000099,U00022,2025-01-10,226.67,Software,Enterprise,2,15,UPI,2024-08-19,2024-08
T000100,U00022,2025-03-16,357.16,Accessories,Starter,1,10,Card,2024-08-19,2024-08
T000101,U00023,2024-11-02,146.88,Software,Starter,1,10,PayPal,2024-11-02,2024-11
T000102,U00024,2024-02-09,110.06,Accessories,Analytics Add-on,2,0,UPI,2024-02-09,2024-02
T000103,U00024,2024-02-09,21.32,Subscription,Pro,2,10,Net Banking,2024-02-09,2024-02
T000104,U00025,2024-10-06,158.69,Subscription,Pro,2,20,PayPal,2024-10-06,2024-10
T000105,U00026,2024-04-10,453.24,Subscription,Pro,2,20,PayPal,2024-04-10,2024-04
T000107,U00026,2024-05-13,42.08,Software,Pro,2,10,Net Banking,2024-04-10,2024-04
T000110,U00027,2025-01-12,204.74,Course,Pro,3,15,PayPal,2025-01-12,2025-01
T000112,U00028,2024-05-08,499.57,Course,Pro,2,10,UPI,2024-05-08,2024-05
T000113,U00028,2024-07-11,346.05,Accessories,Analytics Add-on,3,5,Card,2024-05-08,2024-05
T000114,U00028,2024-08-07,353.56,Course,Starter,2,20,Card,2024-05-08,2024-05
T000115,U00028,2024-08-10,29.54,Subscription,Pro,2,0,UPI,2024-05-08,2024-05
T000117,U00028,2024-09-10,448.61,Subscription,Starter,1,15,Net Banking,2024-05-08,2024-05
T000118,U00028,2024-10-08,424.26,Subscription,Pro,3,0,Net Banking,2024-05-08,2024-05
T000119,U00028,2024-12-09,125.89,Accessories,Analytics Add-on,3,5,UPI,2024-05-08,2024-05
T000121,U00028,2025-02-04,59.13,Subscription,Enterprise,3,5,Net Banking,2024-05-08,2024-05
T000124,U00029,2024-09-24,489.04,Accessories,Starter,2,20,Card,2024-09-24,2024-09
