cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12
2024-01-01,450.0,201.0,164.0,139.0,107.0,85.0,75.0,69.0,46.0,39.0,32.0,20.0,
2024-02-01,609.0,278.0,234.0,195.0,151.0,131.0,102.0,82.0,69.0,46.0,52.0,18.0,
2024-03-01,714.0,326.0,278.0,208.0,177.0,162.0,109.0,87.0,68.0,51.0,45.0,24.0,
2024-04-01,683.0,310.0,273.0,222.0,190.0,150.0,127.0,103.0,80.0,58.0,39.0,27.0,
2024-05-01,735.0,341.0,293.0,235.0,177.0,155.0,108.0,103.0,76.0,60.0,45.0,27.0,
2024-06-01,721.0,360.0,292.0,242.0,197.0,162.0,118.0,107.0,82.0,74.0,53.0,34.0,
2024-07-01,736.0,351.0,282.0,235.0,179.0,150.0,140.0,107.0,90.0,66.0,48.0,24.0,1.0
2024-08-01,815.0,351.0,315.0,255.0,217.0,184.0,131.0,124.0,91.0,82.0,61.0,28.0,
2024-09-01,654.0,279.0,265.0,212.0,165.0,125.0,117.0,105.0,89.0,58.0,39.0,16.0,
2024-10-01,770.0,363.0,326.0,243.0,195.0,178.0,131.0,115.0,85.0,68.0,61.0,28.0,
2024-11-01,754.0,343.0,291.0,213.0,200.0,146.0,124.0,108.0,74.0,65.0,36.0,23.0,
2024-12-01,789.0,361.0,281.0,272.0,214.0,163.0,125.0,101.0,91.0,61.0,57.0,43.0,1.0
2025-01-01,296.0,132.0,112.0,98.0,85.0,58.0,45.0,39.0,32.0,28.0,14.0,,
2025-02-01,79.0,33.0,25.0,28.0,20.0,18.0,14.0,7.0,6.0,1.0,,,
2025-03-01,34.0,14.0,13.0,8.0,9.0,5.0,4.0,3.0,3.0,,,,
2025-04-01,11.0,3.0,4.0,5.0,4.0,3.0,4.0,1.0,,,,,
2025-05-01,4.0,4.0,2.0,1.0,,1.0,1.0,,,,,,
2025-07-01,1.0,1.0,,,,,,,,,,,
